area,seniority,title,company,source,location,workplace_type,published_date,url,skills,area_score,area_matches,search_term,external_id,description
Frontend,Estágio,Estágio em Desenvolvimento Front End,Hyperativa,gupy,"São Paulo, São Paulo",Híbrido,2026-07-17,https://hyperativa.gupy.io/job/eyJqb2JJZCI6MTE2Nzg0MTYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"CSS, Git, HTML, Inglês, JavaScript, SQL, Testes Funcionais, TypeScript, UX/UI",20.0,"javascript, typescript, front end(t), front-end, html, ui",estagio desenvolvimento,11678416,"Aqui na Hyperativa acreditamos que inovar é possível! Por isso, promovemos sempre as melhores soluções para clientes e parceiros em projetos de CRM e promoções. Com nosso certificado PCI Compliance, reforçamos nossa responsabilidade com a segurança, agilidade e criatividade em todos os jobs!Procuramos pessoas que queiram aprender e que sejam criativas. Estimulamos e valorizamos a transparência, a troca de experiências e a entrega de projetos para garantir um ambiente leve e compreensivo.Venha fa"
Frontend,Estágio,Estágio em Desenvolvimento de Software,Nomus,gupy,Brasil,Remoto,2026-07-03,https://nomus.gupy.io/job/eyJqb2JJZCI6MTE1ODUxOTMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"CSS, Inglês, Java, JavaScript, Spring, jQuery",3.0,"javascript, jquery, css",estagio desenvolvimento,11585193,"A área de “Desenvolvimento” é responsável pelo desenvolvimento de softwares de gestão incríveis.Seus principais objetivos são desenvolver soluções que geram resultado para nossos clientes, com velocidade, qualidade e facilidade de uso.Como estagiário em Desenvolvimento você trabalhará em conjunto com nosso time desenvolvendo novas funcionalidades nos softwares de gestão da Nomus.Essa é uma oportunidade incrível de aprendizado, você irá aprender muito sobre Java, Javascript, struts, Spring, hiber"
Frontend,Estágio,Estágio em Tecnologia da Informação,Fragata e Antunes Advogados,gupy,"Rio de Janeiro, Rio de Janeiro",Híbrido,2026-07-06,https://fragataeantunes.gupy.io/job/eyJqb2JJZCI6MTE1ODgzMzcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"CSS, Excel, HTML, Java",6.0,"frontend, html, css",estagio tecnologia,11588337,"Fundado em 1947, Fragata e Antunes Advogados Associados tem uma rica história. Somos um escritório que valoriza a diversidade, estimula a criatividade e acredita que equipes plurais são mais fortes, criativas e preparadas para os desafios do futuro. Nosso ambiente é inclusivo, respeitoso e comprometido com a equidade.Estamos em busca de profissionais em início de carreira, com perfil proativo, engajado e dispostos a crescer junto com o nosso time de tecnologia.A pessoa selecionada atuará no dese"
Frontend,Estágio,[INDÚSTRIA - MATRIZ] Banco de Talentos Estagio de Desenvolvimento de Software,Grupo Splice,gupy,"Votorantim, São Paulo",Presencial,2025-11-19,https://splice-vagas.gupy.io/job/eyJqb2JJZCI6MTAzNjQ1OTcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"C++, Inglês",4.0,front end,estagio desenvolvimento,10364597,"Como Estagiário de Desenvolvimento de Software, você atuará dentro do setor da Engenharia e será responsável por atuar no desenvolvimento de sistemas embarcados que a empresa utiliza em sua operação ou comercializa na forma de produtos e serviços. Responsabilidades e atribuiçõesO profissional irá integrar um time multidisciplinar responsável por desenvolver Sistemas Embarcados para equipamentos eletrônicos robustos com operação autônoma 7x24 e baixa manutenibilidade. Sua principal responsabilida"
Fullstack,Júnior,Analista de Sistemas Junior - FULLSTACK DEVELOPER - Departamento Regional (Florianópolis SC),Sesc Santa Catarina,linkedin,"Florianópolis, SC",Não informado,2026-07-30,https://br.linkedin.com/jobs/view/analista-de-sistemas-junior-fullstack-developer-departamento-regional-florian%C3%B3polis-sc-at-sesc-santa-catarina-4445066125,,12.0,fullstack(t),analista de sistemas junior,4445066125,
Fullstack,Júnior,DESENVOLVEDOR FULL STACK - JÚNIOR (SQL| Python),Stefanini Group,gupy,"Rio de Janeiro, Rio de Janeiro",Presencial,2026-07-28,https://stefanini.gupy.io/job/eyJqb2JJZCI6MTE4NDM1NjEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,".NET, API REST, AWS, Angular, Azure, C#, CSS, Databricks, Docker, Git, HTML, ITIL, Inteligência Artificial, Java, JavaEE, JavaScript, Kubernetes, Metodologias Ágeis, Microserviços, MySQL, Oracle, Pandas, PostgreSQL, Power BI, Python, React, React Native, SAP, SQL, SQL Server, Testes Funcionais",24.0,"desenvolvedor full(t), full stack(t)",desenvolvedor junior,11843561,"Na Stefanini, acreditamos no poder da colaboração. Co-criamos soluções inovadoras em parceria com nossos clientes, combinando tecnologia de ponta, inteligência artificial e a criatividade humana. Estamos na vanguarda da resolução de problemas de negócios, proporcionando impacto real em escala global.Ao se juntar à Stefanini, você se torna parte de uma jornada global de transformação. Estamos empenhados em criar impacto positivo não apenas nos negócios, mas também na vida de nossos colaboradores."
Fullstack,Júnior,DESENVOLVEDOR FULL STACK JR,Stefanini Group,gupy,"São Paulo, São Paulo",Presencial,2026-07-30,https://stefanini.gupy.io/job/eyJqb2JJZCI6MTE4NTQ4NDUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"Databricks, Inteligência Artificial, Pandas, PostgreSQL, Power BI, Python, SAP, SQL",24.0,"desenvolvedor full(t), full stack(t)",desenvolvedor jr,11854845,"Na Stefanini, acreditamos no poder da colaboração. Co-criamos soluções inovadoras em parceria com nossos clientes, combinando tecnologia de ponta, inteligência artificial e a criatividade humana. Estamos na vanguarda da resolução de problemas de negócios, proporcionando impacto real em escala global.Ao se juntar à Stefanini, você se torna parte de uma jornada global de transformação. Estamos empenhados em criar impacto positivo não apenas nos negócios, mas também na vida de nossos colaboradores."
Fullstack,Júnior,Desenvolvedor (a) Full Stack Júnior,abler Vagas,linkedin,"Bauru, SP",Não informado,2025-11-01,https://br.linkedin.com/jobs/view/desenvolvedor-a-full-stack-j%C3%BAnior-at-abler-vagas-4332104098,,12.0,full stack(t),desenvolvedor junior,4332104098,
Fullstack,Júnior,Desenvolvedor Full Stack Jr,Orsegups Participações S/A,linkedin,"São José, SC",Não informado,2026-07-08,https://br.linkedin.com/jobs/view/desenvolvedor-full-stack-jr-at-orsegups-participa%C3%A7%C3%B5es-s-a-4438518149,,24.0,"desenvolvedor full(t), full stack(t)",desenvolvedor jr,4438518149,
Fullstack,Júnior,Desenvolvedor Full Stack Jr ou Pleno,"Aviator, Asas para Voar.",gupy,"Rio de Janeiro, Rio de Janeiro",Híbrido,2026-08-03,https://aviator.gupy.io/job/eyJqb2JJZCI6MTE5MjMwODgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal,"Agentes de IA, Git, Inglês, Inteligência Artificial, LLM, MySQL, Node.js, PHP, Python, React, SQL, SQL Server",28.0,"desenvolvedor full(t), full stack(t), full-stack",desenvolvedor jr,11923088,"Trabalhe com o que você acredita.Vivemos um momento onde o que fazemos é uma expressão de quem nós somos e do que valorizamos.Trabalhar vai muito além de uma obrigação.São as causas, as pessoas e os sonhos que nos impulsionam a voar mais alto.Buscamos um(a) dev Full Stack para evoluir nosso e-commerce (VTEX/DECO) e criar ferramentas, automações e integrações para diferentes áreas da empresa. Queremos alguém que use IA no dia a dia de desenvolvimento para acelerar entregas e gerar impacto real no"
